timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778229937547,160,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-44,text,true,,2264,1399,72,72,https://tpm.l.fjfj.es/tool-provider-manager/tools,131,0,0
1778229937466,241,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-9,text,true,,2264,1399,72,72,https://tpm.l.fjfj.es/tool-provider-manager/tools,164,0,0
1778229937388,320,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-69,,true,,576,445,72,72,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,320,0,200
1778229937587,165,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-23,text,true,,2264,1399,72,72,https://tpm.l.fjfj.es/tool-provider-manager/tools,165,0,0
1778229937470,277,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-70,,true,,576,445,72,72,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,277,0,174
1778229937594,179,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-40,text,true,,2264,1399,73,73,https://tpm.l.fjfj.es/tool-provider-manager/tools,179,0,0
1778229937672,101,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-3,text,true,,2264,1399,73,73,https://tpm.l.fjfj.es/tool-provider-manager/tools,101,0,0
1778229937711,111,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-56,text,true,,2264,1399,73,73,https://tpm.l.fjfj.es/tool-provider-manager/tools,111,0,0
1778229937586,236,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-71,,true,,576,445,73,73,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,236,0,135
1778229937729,134,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-61,text,true,,2264,1399,74,74,https://tpm.l.fjfj.es/tool-provider-manager/tools,134,0,0
1778229937768,97,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-63,text,true,,2264,1399,74,74,https://tpm.l.fjfj.es/tool-provider-manager/tools,96,0,0
1778229937767,104,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-17,text,true,,2264,1399,74,74,https://tpm.l.fjfj.es/tool-provider-manager/tools,104,0,0
1778229937736,144,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-15,text,true,,2264,1399,74,74,https://tpm.l.fjfj.es/tool-provider-manager/tools,144,0,0
1778229937769,119,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-6,text,true,,2264,1399,74,74,https://tpm.l.fjfj.es/tool-provider-manager/tools,119,0,0
